index,Class
353,negative
711,negative
373,negative
46,negative
682,negative
360,sick
414,sick
339,sick
694,negative
33,negative
218,sick
705,negative
76,negative
616,negative
675,sick
613,negative
666,sick
34,negative
182,negative
405,negative
464,negative
576,negative
664,sick
9,sick
466,negative
267,negative
167,negative
320,negative
610,negative
485,sick
295,negative
204,negative
195,sick
269,sick
434,negative
217,negative
323,sick
85,negative
26,sick
171,sick
716,sick
96,negative
561,sick
296,sick
60,negative
175,sick
737,negative
601,negative
294,negative
209,sick
730,sick
764,negative
751,negative
216,sick
386,sick
467,negative
696,sick
652,negative
224,negative
676,sick
416,negative
669,negative
148,negative
404,sick
206,sick
709,sick
61,sick
132,sick
43,sick
228,negative
40,negative
604,sick
695,sick
752,negative
375,sick
214,sick
69,negative
14,sick
306,sick
312,sick
334,negative
442,negative
658,negative
105,negative
551,negative
299,negative
286,negative
106,negative
744,negative
282,negative
619,sick
363,sick
316,negative
141,negative
463,negative
657,negative
718,negative
691,sick
544,negative
321,sick
358,negative
117,negative
651,negative
336,negative
118,negative
603,sick
473,negative
51,negative
729,negative
623,negative
671,negative
234,negative
465,negative
100,sick
134,negative
569,sick
103,negative
459,negative
340,negative
504,negative
21,negative
625,negative
454,negative
152,sick
594,negative
614,sick
68,negative
74,negative
47,negative
22,sick
95,negative
536,negative
583,negative
18,negative
600,negative
757,sick
648,sick
281,negative
598,sick
397,sick
184,negative
627,negative
126,negative
636,negative
56,sick
472,negative
512,negative
758,negative
289,negative
249,negative
28,negative
59,negative
539,sick
58,negative
31,sick
367,negative
37,sick
201,negative
706,sick
597,negative
272,negative
617,negative
555,negative
120,sick
692,negative
57,negative
497,negative
147,negative
521,negative
369,sick
357,sick
352,negative
524,negative
229,negative
707,negative
338,sick
266,sick
547,negative
343,negative
565,negative
681,sick
588,sick
470,negative
653,negative
487,negative
519,negative
680,negative
655,sick
632,negative
50,negative
552,negative
197,sick
2,sick
230,sick
633,negative
571,negative
98,negative
631,negative
455,sick
128,sick
248,negative
548,negative
586,sick
203,negative
738,negative
372,negative
443,sick
194,negative
333,negative
762,negative
582,negative
500,negative
97,negative
226,negative
200,negative
331,negative
301,sick
581,negative
592,sick
748,sick
10,negative
690,negative
540,sick
398,negative
285,negative
391,sick
259,sick
684,negative
287,sick
714,negative
176,negative
160,negative
761,sick
644,negative
605,negative
315,negative
297,negative
444,sick
284,sick
241,negative
413,negative
318,negative
55,negative
210,negative
66,sick
423,negative
433,negative
595,sick
628,negative
12,negative
125,sick
349,sick
587,negative
111,sick
327,negative
157,negative
189,sick
723,negative
303,sick
634,negative
143,sick
67,negative
384,negative
261,sick
553,negative
608,negative
104,negative
365,negative
131,sick
564,negative
708,sick
641,negative
656,negative
27,negative
361,negative
346,negative
188,sick
710,negative
151,negative
220,sick
702,sick
578,negative
385,negative
262,negative
92,negative
377,negative
420,negative
317,sick
4,sick
170,sick
621,negative
381,negative
503,negative
530,negative
231,sick
662,sick
401,negative
325,negative
265,negative
138,negative
72,sick
378,sick
70,sick
406,sick
7,negative
394,sick
642,sick
30,negative
525,negative
732,sick
731,sick
476,sick
129,sick
693,sick
137,negative
178,negative
452,negative
242,sick
77,negative
733,negative
507,negative
453,negative
374,negative
233,negative
677,negative
177,sick
505,negative
173,negative
765,negative
412,negative
511,negative
542,sick
526,negative
492,negative
174,negative
84,sick
0,sick
468,sick
668,negative
490,negative
550,negative
639,negative
460,negative
191,negative
715,sick
673,negative
390,negative
254,sick
123,negative
510,sick
288,negative
71,negative
5,negative
482,negative
39,sick
54,negative
388,sick
16,sick
159,sick
222,negative
53,sick
429,sick
523,sick
232,negative
683,sick
302,negative
283,sick
567,negative
211,negative
277,negative
514,negative
20,negative
611,sick
253,negative
48,sick
462,negative
686,negative
290,negative
169,negative
240,negative
63,negative
156,negative
36,negative
727,negative
607,negative
108,negative
179,sick
341,negative
450,negative
580,sick
236,sick
431,negative
522,negative
624,negative
225,negative
400,sick
474,negative
703,negative
280,sick
457,negative
577,sick
755,sick
747,negative
237,sick
717,negative
395,negative
739,sick
439,negative
426,negative
508,negative
659,sick
502,sick
438,negative
292,sick
114,sick
221,sick
379,negative
688,negative
435,sick
65,negative
186,sick
520,negative
541,sick
101,negative
726,negative
685,negative
477,negative
133,negative
313,negative
538,negative
180,negative
493,sick
506,sick
166,negative
257,negative
719,sick
251,negative
643,negative
599,negative
145,negative
591,negative
649,negative
427,sick
574,negative
645,negative
219,sick
638,sick
202,negative
545,sick
750,sick
559,negative
509,negative
362,negative
566,negative
602,negative
403,negative
227,sick
146,negative
728,negative
661,sick
329,negative
291,sick
149,negative
356,sick
93,sick
270,sick
670,negative
498,sick
432,negative
518,negative
193,sick
687,negative
350,negative
79,negative
337,sick
183,negative
622,negative
411,negative
121,negative
735,negative
314,sick
546,sick
142,negative
172,negative
396,negative
15,sick
342,negative
135,negative
328,sick
23,sick
181,negative
45,sick
573,negative
568,negative
759,sick
393,negative
528,negative
483,negative
370,sick
753,sick
348,negative
256,negative
448,sick
646,sick
572,negative
575,negative
52,negative
364,negative
562,negative
136,negative
99,sick
80,negative
102,negative
549,negative
192,sick
344,negative
308,sick
322,sick
579,sick
725,negative
196,negative
239,negative
704,negative
609,negative
29,negative
478,negative
456,negative
90,negative
246,negative
475,negative
354,negative
1,negative
293,sick
449,negative
359,sick
122,negative
73,negative
647,sick
665,negative
207,sick
110,sick
515,sick
130,sick
161,negative
165,sick
749,sick
760,negative
557,negative
516,sick
168,negative
479,negative
275,negative
754,sick
422,negative
606,sick
620,negative
223,negative
741,negative
368,negative
263,negative
590,sick
208,negative
8,sick
383,negative
155,sick
585,negative
25,sick
446,negative
49,negative
720,negative
250,negative
109,sick
91,negative
663,sick
766,sick
319,sick
721,negative
495,negative
376,negative
689,sick
701,sick
274,negative
119,negative
19,sick
213,sick
41,negative
612,sick
499,negative
326,sick
461,negative
371,negative
491,negative
458,sick
252,negative
534,negative
626,negative
150,negative
324,negative
382,negative
409,sick
271,negative
35,negative
11,sick
529,negative
654,negative
640,negative
278,negative
255,sick
154,sick
451,sick
113,negative
556,negative
667,sick
107,negative
