index,Class
1020,LowIncome
11879,LowIncome
18113,LowIncome
19323,LowIncome
2886,LowIncome
42876,LowIncome
4040,HighIncome
42816,LowIncome
32962,LowIncome
27324,LowIncome
43520,LowIncome
4354,LowIncome
34224,LowIncome
30469,LowIncome
38883,LowIncome
12756,LowIncome
18196,HighIncome
17974,HighIncome
9483,HighIncome
37158,LowIncome
35567,LowIncome
14497,LowIncome
44112,HighIncome
42716,LowIncome
27876,LowIncome
8500,LowIncome
26127,LowIncome
12035,LowIncome
10338,LowIncome
41968,LowIncome
4650,LowIncome
23788,LowIncome
35070,LowIncome
2571,LowIncome
35145,LowIncome
9865,LowIncome
40044,HighIncome
7341,LowIncome
34503,LowIncome
44937,LowIncome
41044,LowIncome
10105,LowIncome
12732,LowIncome
18457,LowIncome
14540,LowIncome
24736,LowIncome
10883,LowIncome
15031,LowIncome
22870,LowIncome
38716,LowIncome
36415,HighIncome
25676,LowIncome
24651,HighIncome
41376,LowIncome
37442,LowIncome
26774,HighIncome
8241,LowIncome
21916,LowIncome
6750,LowIncome
24217,LowIncome
24324,LowIncome
578,HighIncome
43140,LowIncome
40666,LowIncome
19067,LowIncome
41278,LowIncome
48599,HighIncome
23502,LowIncome
43180,HighIncome
27176,LowIncome
13754,LowIncome
38329,LowIncome
41669,LowIncome
48428,LowIncome
42861,LowIncome
15658,LowIncome
46195,LowIncome
7877,LowIncome
45615,LowIncome
31273,HighIncome
32214,LowIncome
14352,LowIncome
1689,LowIncome
10699,LowIncome
4423,HighIncome
207,LowIncome
18727,LowIncome
41242,HighIncome
42610,LowIncome
19041,LowIncome
24626,LowIncome
5425,LowIncome
19425,HighIncome
4761,LowIncome
36633,LowIncome
5592,LowIncome
47501,LowIncome
16346,LowIncome
38476,LowIncome
9750,LowIncome
2119,LowIncome
43764,LowIncome
1296,HighIncome
914,HighIncome
25220,HighIncome
29274,LowIncome
25378,LowIncome
40178,HighIncome
48282,HighIncome
33663,LowIncome
2747,LowIncome
9371,HighIncome
32489,LowIncome
44603,HighIncome
30265,LowIncome
45550,LowIncome
25426,HighIncome
23108,LowIncome
33287,LowIncome
14971,LowIncome
47820,LowIncome
15239,LowIncome
21040,LowIncome
41008,HighIncome
14127,LowIncome
37417,LowIncome
7832,LowIncome
18714,HighIncome
6214,LowIncome
15305,LowIncome
43805,LowIncome
28753,LowIncome
31321,LowIncome
11218,LowIncome
45313,HighIncome
22747,LowIncome
26646,HighIncome
9063,LowIncome
26364,LowIncome
14430,LowIncome
42227,LowIncome
23758,LowIncome
27574,LowIncome
21939,HighIncome
48373,HighIncome
3681,LowIncome
28484,LowIncome
25475,HighIncome
21869,HighIncome
35204,HighIncome
44259,HighIncome
11550,HighIncome
48506,LowIncome
12278,LowIncome
21996,LowIncome
11245,LowIncome
8922,LowIncome
30581,LowIncome
14093,HighIncome
16185,HighIncome
30964,LowIncome
14680,LowIncome
2087,HighIncome
22126,LowIncome
504,LowIncome
27260,LowIncome
19257,LowIncome
19334,LowIncome
40476,LowIncome
13731,LowIncome
22666,LowIncome
17541,LowIncome
15925,LowIncome
1390,LowIncome
5254,LowIncome
221,LowIncome
40878,HighIncome
19170,LowIncome
23124,HighIncome
12268,HighIncome
37710,HighIncome
29878,LowIncome
21753,LowIncome
28474,LowIncome
2342,LowIncome
46208,LowIncome
46289,LowIncome
1691,LowIncome
48092,LowIncome
25554,HighIncome
41913,HighIncome
14704,LowIncome
23750,LowIncome
2731,LowIncome
34097,LowIncome
