index,Class
331,Yes
348,Yes
122,No
359,Yes
366,Yes
160,No
215,No
167,No
2,No
31,No
158,No
302,Yes
218,No
134,No
50,No
222,No
163,No
151,No
211,No
62,No
120,No
68,No
330,Yes
375,Yes
87,Yes
314,Yes
376,Yes
231,Yes
338,Yes
207,No
238,Yes
289,No
209,No
143,No
52,No
70,No
282,No
168,No
80,No
103,No
178,No
36,No
114,No
251,No
259,No
43,No
316,Yes
266,No
10,No
88,Yes
381,Yes
321,Yes
98,No
46,No
83,No
33,No
224,Yes
350,Yes
313,Yes
89,Yes
189,No
292,No
201,No
4,No
162,No
200,No
372,Yes
299,Yes
153,No
28,No
22,No
107,No
379,Yes
210,No
119,No
96,No
29,No
198,No
32,No
258,No
170,No
228,Yes
235,Yes
176,No
171,No
110,No
0,No
374,Yes
69,No
315,Yes
144,No
276,No
272,No
150,No
23,No
183,No
12,No
61,No
156,No
128,No
58,No
360,Yes
352,Yes
236,Yes
290,No
370,Yes
257,No
131,No
310,Yes
102,No
324,Yes
286,No
334,Yes
232,Yes
90,Yes
35,No
274,No
344,Yes
188,No
1,No
233,Yes
3,No
382,Yes
196,No
205,No
364,Yes
212,No
191,No
329,Yes
42,No
279,No
239,Yes
169,No
85,No
327,Yes
184,No
342,Yes
99,No
294,No
206,No
121,No
44,No
106,No
34,No
253,No
246,No
141,No
256,No
54,No
319,Yes
182,No
47,No
357,Yes
255,No
45,No
328,Yes
18,No
75,No
336,Yes
273,No
77,No
130,No
260,No
109,No
345,Yes
226,Yes
208,No
181,No
56,No
133,No
86,No
138,No
123,No
40,No
41,No
351,Yes
25,No
67,No
78,No
174,No
249,No
16,No
265,No
203,No
349,Yes
217,No
225,Yes
297,No
7,No
371,Yes
27,No
71,No
190,No
219,No
38,No
11,No
66,No
145,No
118,No
216,No
362,Yes
132,No
81,No
303,Yes
318,Yes
301,Yes
317,Yes
101,No
343,Yes
125,No
177,No
227,Yes
148,No
185,No
335,Yes
24,No
339,No
6,No
165,No
291,No
305,Yes
204,No
242,Yes
111,No
268,No
322,Yes
192,No
320,Yes
347,Yes
116,No
139,No
9,No
129,No
117,No
240,Yes
262,No
354,Yes
104,No
124,No
100,No
79,No
74,No
287,No
39,No
202,No
229,Yes
275,No
152,No
369,Yes
368,Yes
48,Yes
311,Yes
149,No
285,No
243,No
186,No
281,No
326,Yes
30,No
5,No
308,Yes
173,No
146,No
247,No
323,Yes
298,Yes
377,Yes
126,No
26,No
147,No
199,No
115,No
57,No
91,Yes
142,No
19,No
333,Yes
252,No
340,No
221,No
154,No
248,No
164,No
223,Yes
284,No
15,No
300,Yes
179,No
65,No
293,No
263,No
161,No
82,No
37,No
159,No
214,No
92,No
269,No
361,Yes
277,No
187,No
250,No
346,Yes
264,No
63,No
76,No
